model,doc_id,source_file,status,reason,gt_file_exists,matched_count,gt_only_count,pred_only_count,gt_defendant_count,pred_defendant_count,llm_calls,input_tokens,output_tokens,total_tokens,fallback_errors,fallback_used
one_call,24-07-2025-Ho_Chi_Minh-2ta1887832t1cvn,24-07-2025-Ho_Chi_Minh-2ta1887832t1cvn.json,processed,ok,True,5,0,0,5,5,1,3725,2371,6096,0,False
one_call,24-07-2025-Hung_Yen-2ta1875157t1cvn,24-07-2025-Hung_Yen-2ta1875157t1cvn.json,processed,ok,True,2,0,0,2,2,1,1940,952,2892,0,False
one_call,24-09-2024-Dien_Bien-2ta1667513t1cvn,24-09-2024-Dien_Bien-2ta1667513t1cvn.json,processed,ok,True,1,0,0,1,1,1,1608,468,2076,0,False
one_call,24-09-2024-Son_La-2ta1667472t1cvn,24-09-2024-Son_La-2ta1667472t1cvn.json,processed,ok,True,1,0,0,1,1,1,1654,442,2096,0,False
one_call,24-12-2025-Ho_Chi_Minh-2ta2075090t1cvn,24-12-2025-Ho_Chi_Minh-2ta2075090t1cvn.json,processed,ok,True,1,0,0,1,1,1,1795,586,2381,0,False
one_call,25-02-2025-Dien_Bien-2ta1748471t1cvn,25-02-2025-Dien_Bien-2ta1748471t1cvn.json,processed,ok,True,2,0,0,2,2,1,2420,957,3377,0,False
one_call,25-02-2025-Hung_Yen-2ta1764446t1cvn,25-02-2025-Hung_Yen-2ta1764446t1cvn.json,processed,ok,True,1,0,0,1,1,1,1711,518,2229,0,False
one_call,25-04-2025-Son_La-2ta1802492t1cvn,25-04-2025-Son_La-2ta1802492t1cvn.json,processed,ok,True,1,0,0,1,1,1,1468,548,2016,0,False
one_call,25-08-2024-Hai_Phong-2ta1657210t1cvn,25-08-2024-Hai_Phong-2ta1657210t1cvn.json,processed,ok,True,1,0,0,1,1,1,1551,756,2307,0,False
one_call,25-08-2025-Ho_Chi_Minh-2ta1991219t1cvn,25-08-2025-Ho_Chi_Minh-2ta1991219t1cvn.json,processed,ok,True,7,0,0,7,7,1,4779,2538,7317,0,False
one_call,25-09-2024-Dien_Bien-2ta1675572t1cvn,25-09-2024-Dien_Bien-2ta1675572t1cvn.json,processed,ok,True,1,0,0,1,1,1,1646,771,2417,0,False
one_call,25-09-2025-Dien_Bien-2ta1982671t1cvn,25-09-2025-Dien_Bien-2ta1982671t1cvn.json,processed,ok,True,1,0,0,1,1,1,1458,491,1949,0,False
one_call,25-11-2025-Hung_Yen-2ta2011482t1cvn,25-11-2025-Hung_Yen-2ta2011482t1cvn.json,processed,ok,True,1,0,0,1,1,1,1505,624,2129,0,False
one_call,25-12-2024-Thanh_Hoa-2ta1716936t1cvn,25-12-2024-Thanh_Hoa-2ta1716936t1cvn.json,processed,ok,True,2,0,0,2,2,1,2223,1070,3293,0,False
one_call,26-02-2025-Lai_Chau-2ta1748216t1cvn,26-02-2025-Lai_Chau-2ta1748216t1cvn.json,processed,ok,True,1,0,0,1,1,1,1500,494,1994,0,False
one_call,26-05-2025-Bac_Ninh-2ta1956390t1cvn,26-05-2025-Bac_Ninh-2ta1956390t1cvn.json,processed,ok,True,1,0,0,1,1,1,1565,548,2113,0,False
one_call,26-05-2025-Da_Nang-2ta1936169t1cvn,26-05-2025-Da_Nang-2ta1936169t1cvn.json,processed,ok,True,1,0,0,1,1,1,1486,621,2107,0,False
one_call,26-05-2025-Phu_Tho-2ta1852318t1cvn,26-05-2025-Phu_Tho-2ta1852318t1cvn.json,processed,ok,True,1,0,0,1,1,1,1654,727,2381,0,False
one_call,26-06-2025-Khanh_Hoa-2ta1897155t1cvn,26-06-2025-Khanh_Hoa-2ta1897155t1cvn.json,processed,ok,True,1,0,0,1,1,1,1669,630,3661,1,True
one_call,26-06-2025-Lai_Chau-2ta2005423t1cvn,26-06-2025-Lai_Chau-2ta2005423t1cvn.json,processed,ok,True,5,0,0,5,5,1,4228,2273,6501,0,False
